timestamp,day_of_week,hour,origin,destination,duration_min,distance_km,departure,arrival
2026-08-11 08:04:24,Tuesday,8,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,3:04 PM,4:46 PM
2026-08-11 09:27:49,Tuesday,9,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,4:27 PM,5:02 PM
2026-08-11 09:27:49,Tuesday,9,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.4,3.2,4:27 PM,5:06 PM
2026-08-11 09:27:50,Tuesday,9,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,4:27 PM,5:27 PM
2026-08-11 09:27:50,Tuesday,9,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,4:27 PM,5:17 PM
2026-08-11 09:27:50,Tuesday,9,KMUTT Bangkok,The Mall Life Store BangKae,93.4,19.51,4:35 PM,6:08 PM
2026-08-11 09:27:50,Tuesday,9,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,4:27 PM,4:58 PM
2026-08-11 09:27:50,Tuesday,9,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,4:27 PM,6:10 PM
2026-08-11 10:24:34,Tuesday,10,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,5:24 PM,5:59 PM
2026-08-11 10:24:35,Tuesday,10,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.4,3.2,5:24 PM,6:03 PM
2026-08-11 10:24:35,Tuesday,10,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,5:24 PM,6:24 PM
2026-08-11 10:24:35,Tuesday,10,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,5:24 PM,6:13 PM
2026-08-11 10:24:35,Tuesday,10,KMUTT Bangkok,The Mall Life Store BangKae,93.4,19.51,5:35 PM,7:08 PM
2026-08-11 10:24:36,Tuesday,10,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,5:24 PM,5:55 PM
2026-08-11 10:24:36,Tuesday,10,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,5:24 PM,7:06 PM
2026-08-11 11:11:57,Tuesday,11,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,6:11 PM,6:46 PM
2026-08-11 11:11:57,Tuesday,11,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.4,3.2,6:11 PM,6:50 PM
2026-08-11 11:11:57,Tuesday,11,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,6:11 PM,7:11 PM
2026-08-11 11:11:58,Tuesday,11,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,6:11 PM,7:01 PM
2026-08-11 11:11:58,Tuesday,11,KMUTT Bangkok,The Mall Life Store BangKae,93.4,19.51,6:15 PM,7:48 PM
2026-08-11 11:11:58,Tuesday,11,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,6:11 PM,6:42 PM
2026-08-11 11:11:59,Tuesday,11,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,6:11 PM,7:54 PM
2026-08-11 12:06:14,Tuesday,12,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,7:06 PM,7:40 PM
2026-08-11 12:06:14,Tuesday,12,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.4,3.2,7:06 PM,7:44 PM
2026-08-11 12:06:14,Tuesday,12,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,7:06 PM,8:05 PM
2026-08-11 12:06:14,Tuesday,12,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,7:06 PM,7:55 PM
2026-08-11 12:06:14,Tuesday,12,KMUTT Bangkok,The Mall Life Store BangKae,93.4,19.51,7:15 PM,8:48 PM
2026-08-11 12:06:15,Tuesday,12,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,7:06 PM,7:37 PM
2026-08-11 12:06:15,Tuesday,12,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,7:06 PM,8:48 PM
2026-08-11 13:51:05,Tuesday,13,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,8:51 PM,9:25 PM
2026-08-11 13:51:05,Tuesday,13,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.4,3.2,8:51 PM,9:29 PM
2026-08-11 13:51:06,Tuesday,13,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,8:51 PM,9:50 PM
2026-08-11 13:51:06,Tuesday,13,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,8:51 PM,9:40 PM
2026-08-11 13:51:06,Tuesday,13,KMUTT Bangkok,The Mall Life Store BangKae,114.8,18.65,8:51 PM,10:45 PM
2026-08-11 13:51:07,Tuesday,13,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,8:51 PM,9:21 PM
2026-08-11 13:51:07,Tuesday,13,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,8:51 PM,10:33 PM
2026-08-11 14:50:53,Tuesday,14,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,9:50 PM,10:25 PM
2026-08-11 14:50:53,Tuesday,14,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.4,3.2,9:50 PM,10:29 PM
2026-08-11 14:50:54,Tuesday,14,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,9:50 PM,10:50 PM
2026-08-11 14:50:54,Tuesday,14,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,9:50 PM,10:40 PM
2026-08-11 14:50:54,Tuesday,14,KMUTT Bangkok,The Mall Life Store BangKae,114.8,18.65,9:50 PM,11:45 PM
2026-08-11 14:50:54,Tuesday,14,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,9:50 PM,10:21 PM
2026-08-11 14:50:54,Tuesday,14,วัดแค บางปลากด,KMUTT Bangkok,105.5,15.96,9:50 PM,11:36 PM
2026-08-11 15:52:27,Tuesday,15,KMUTT Bangkok,ใต้ทางด่วน กม.9,34.7,3.08,10:52 PM,11:27 PM
2026-08-11 15:52:27,Tuesday,15,ใต้ทางด่วน กม.9,KMUTT Bangkok,36.8,3.2,10:52 PM,11:29 PM
2026-08-11 15:52:27,Tuesday,15,ใต้ทางด่วน กม.9,Mo Chit BTS Station,59.4,20.48,10:52 PM,11:51 PM
2026-08-11 15:52:27,Tuesday,15,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,10:52 PM,11:41 PM
2026-08-11 15:52:28,Tuesday,15,KMUTT Bangkok,The Mall Life Store BangKae,107.7,18.61,10:52 PM,12:40 AM
2026-08-11 15:52:28,Tuesday,15,KMUTT Bangkok,Opposite Bangpakok Market,30.9,3.62,10:52 PM,11:23 PM
2026-08-11 15:52:28,Tuesday,15,วัดแค บางปลากด,KMUTT Bangkok,368.4,15.96,11:13 PM,5:21 AM
2026-08-11 16:48:57,Tuesday,16,KMUTT Bangkok,ใต้ทางด่วน กม.9,38.3,2.77,N/A,N/A
2026-08-11 16:48:57,Tuesday,16,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.5,2.78,N/A,N/A
2026-08-11 16:48:58,Tuesday,16,ใต้ทางด่วน กม.9,Mo Chit BTS Station,79.8,19.84,11:48 PM,1:08 AM
2026-08-11 16:48:58,Tuesday,16,ใต้ทางด่วน กม.9,Siam Paragon,49.3,13.96,11:48 PM,12:38 AM
2026-08-11 16:48:58,Tuesday,16,KMUTT Bangkok,The Mall Life Store BangKae,118.8,17.47,4:55 AM,6:53 AM
2026-08-11 16:48:59,Tuesday,16,KMUTT Bangkok,Opposite Bangpakok Market,49.4,3.54,N/A,N/A
2026-08-11 16:48:59,Tuesday,16,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,5:13 AM,6:55 AM
2026-08-11 17:50:34,Tuesday,17,KMUTT Bangkok,ใต้ทางด่วน กม.9,38.3,2.77,N/A,N/A
2026-08-11 17:50:35,Tuesday,17,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.5,2.78,N/A,N/A
2026-08-11 17:50:35,Tuesday,17,ใต้ทางด่วน กม.9,Mo Chit BTS Station,175.5,26.05,12:50 AM,3:46 AM
2026-08-11 17:50:35,Tuesday,17,ใต้ทางด่วน กม.9,Siam Paragon,123.5,16.66,12:50 AM,2:54 AM
2026-08-11 17:50:35,Tuesday,17,KMUTT Bangkok,The Mall Life Store BangKae,118.8,17.47,4:55 AM,6:53 AM
2026-08-11 17:50:36,Tuesday,17,KMUTT Bangkok,Opposite Bangpakok Market,49.4,3.54,N/A,N/A
2026-08-11 17:50:36,Tuesday,17,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,5:13 AM,6:55 AM
2026-08-11 18:49:52,Tuesday,18,KMUTT Bangkok,ใต้ทางด่วน กม.9,38.3,2.77,N/A,N/A
2026-08-11 18:49:52,Tuesday,18,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.5,2.78,N/A,N/A
2026-08-11 18:49:52,Tuesday,18,ใต้ทางด่วน กม.9,Mo Chit BTS Station,151.2,21.88,1:59 AM,4:30 AM
2026-08-11 18:49:53,Tuesday,18,ใต้ทางด่วน กม.9,Siam Paragon,120.8,17.75,1:49 AM,3:50 AM
2026-08-11 18:49:53,Tuesday,18,KMUTT Bangkok,The Mall Life Store BangKae,118.8,17.47,4:55 AM,6:53 AM
2026-08-11 18:49:53,Tuesday,18,KMUTT Bangkok,Opposite Bangpakok Market,49.4,3.54,N/A,N/A
2026-08-11 18:49:53,Tuesday,18,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,5:13 AM,6:55 AM
2026-08-11 19:55:47,Tuesday,19,KMUTT Bangkok,ใต้ทางด่วน กม.9,38.3,2.77,N/A,N/A
2026-08-11 19:55:47,Tuesday,19,ใต้ทางด่วน กม.9,KMUTT Bangkok,38.5,2.78,N/A,N/A
2026-08-11 19:55:47,Tuesday,19,ใต้ทางด่วน กม.9,Mo Chit BTS Station,107.1,38.23,3:34 AM,5:21 AM
2026-08-11 19:55:48,Tuesday,19,ใต้ทางด่วน กม.9,Siam Paragon,114.3,31.2,3:34 AM,5:28 AM
2026-08-11 19:55:48,Tuesday,19,KMUTT Bangkok,The Mall Life Store BangKae,118.8,17.47,4:55 AM,6:53 AM
2026-08-11 19:55:48,Tuesday,19,KMUTT Bangkok,Opposite Bangpakok Market,49.4,3.54,N/A,N/A
2026-08-11 19:55:49,Tuesday,19,วัดแค บางปลากด,KMUTT Bangkok,102.3,14.19,5:13 AM,6:55 AM
